ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS	LEXSTATIDS	ALIGNMENT
896	91_black	black	Qiandui	Quiandui Hlai	dam3	dam3	d a m *3/³	hlai1239	163	18.91	110.04		1 7 4 8	AXLT	TAM6	6	6.T.C 6.A.V 6.M.c 6.6.T	1.6 3.0 1.1 1.0	dam*3/³	0	80	80	d a m *3/³
897	91_black	black	Baocheng	Baocheng Hlai	dəm3	dəm3	d ə m *3/³	hlai1239	163	18.64	109.70		1 7 4 8	AXLT	TEM6	2	2.T.C 2.E.V 2.M.c 2.6.T	1.6 3.0 1.1 1.0	dəm*3/³	0	80	80	d ə m *3/³
898	91_black	black	Gelong	Gelong	khoil1	khoil1	kʰ oi l *1/¹		163	19.10	108.65		1 7 5 8	AXLT	KUL6	4	4.K.C 4.U.V 4.L.c 4.6.T	1.6 3.0 1.1 1.0	kʰoil*1/¹	0	81	81	kʰ oi l *1/¹
286	30_blood	blood	Xifang	Xifang Hlai	ɬo:ȶ7	ɬo:ȶ7	ɬ oː ȶ *7/⁵²	hlai1239	946	19.30	109.24		5 7 1 8	AXLT	LUT3	8	8.L.C 8.U.V 8.T.c 8.3.T	1.6 3.0 1.1 1.0	ɬoːȶ*7/⁵²	0	91	91	ɬ - oː ȶ *7/⁵²
287	30_blood	blood	Baisha	Baisha Hlai	ɬa:ȶ 8	ɬa:ȶ_8	ɬ aː ȶ + *8/⁵³	hlai1239	946	18.65	108.72		5 7 1 9 8	AXN_T	LAT_3	1	1.L.C 1.A.V 1.T.c 1._._ 1.3.T	1.6 3.0 0.5 0.0 1.0	ɬaːȶ+*8/⁵³	0	91 92	91 92	ɬ - aː ȶ - + *8/⁵³
288	30_blood	blood	Yuanmen	Yuanmen Hlai	ɬuaȶ7	ɬuaȶ7	ɬ u/w a ȶ *7/⁵²	hlai1239	946	19.11	109.54		5 6 7 1 8	ACXLT	LWAT3	9	9.L.C 9.W.C 9.A.V 9.T.c 9.3.T	1.6 1.2 3.0 1.1 1.0	ɬu/waȶ*7/⁵²	0	91	91	ɬ u/w a ȶ *7/⁵²
289	30_blood	blood	Heitu	Heitu Hlai	da:ȶ7	da:ȶ7	d aː ȶ *7/⁵²	hlai1239	946	19.51	108.94		1 7 1 8	AXLT	TAT3	5	5.T.C 5.A.V 5.T.c 5.3.T	1.6 3.0 1.1 1.0	daːȶ*7/⁵²	0	91	91	- d aː ȶ *7/⁵²
290	30_blood	blood	Baoding	Baoding Hlai	ɬa:ȶ7	ɬa:ȶ7	ɬ aː ȶ *7/⁵²	hlai1239	946	18.77	110.45		5 7 1 8	AXLT	LAT3	3	3.L.C 3.A.V 3.T.c 3.3.T	1.6 3.0 1.1 1.0	ɬaːȶ*7/⁵²	0	91	91	ɬ - aː ȶ *7/⁵²
291	30_blood	blood	Zhongsha	Zhongsha Hlai	ɬa:ȶ7	ɬa:ȶ7	ɬ aː ȶ *7/⁵²	hlai1239	946	15.83	114.33		5 7 1 8	AXLT	LAT3	10	10.L.C 10.A.V 10.T.c 10.3.T	1.6 3.0 1.1 1.0	ɬaːȶ*7/⁵²	0	91	91	ɬ - aː ȶ *7/⁵²
292	30_blood	blood	Tongzha	Tongzha Hlai	ɬa:ȶ7	ɬa:ȶ7	ɬ aː ȶ *7/⁵²	hlai1239	946	18.88	109.67		5 7 1 8	AXLT	LAT3	7	7.L.C 7.A.V 7.T.c 7.3.T	1.6 3.0 1.1 1.0	ɬaːȶ*7/⁵²	0	91	91	ɬ - aː ȶ *7/⁵²
293	30_blood	blood	Qiandui	Quiandui Hlai	ɬa:ȶ7	ɬa:ȶ7	ɬ aː ȶ *7/⁵²	hlai1239	946	18.91	110.04		5 7 1 8	AXLT	LAT3	6	6.L.C 6.A.V 6.T.c 6.3.T	1.6 3.0 1.1 1.0	ɬaːȶ*7/⁵²	0	91	91	ɬ - aː ȶ *7/⁵²
294	30_blood	blood	Baocheng	Baocheng Hlai	ɬa:ȶ7	ɬa:ȶ7	ɬ aː ȶ *7/⁵²	hlai1239	946	18.64	109.70		5 7 1 8	AXLT	LAT3	2	2.L.C 2.A.V 2.T.c 2.3.T	1.6 3.0 1.1 1.0	ɬaːȶ*7/⁵²	0	91	91	ɬ - aː ȶ *7/⁵²
295	30_blood	blood	Gelong	Gelong	tθɔt2	tθɔt2	tθ ɔ t *2/²		946	19.10	108.65		1 7 1 8	AXLT	TUT6	4	4.T.C 4.U.V 4.T.c 4.6.T	1.6 3.0 1.1 1.0	tθɔt*2/²	0	91	91	- tθ ɔ t *2/²
