No	English	XF	BS	YM	HT	BD	ZS	TZ	QD	BC	Gelong
86	mountain	ŋo3	ŋo3	ɱo6	hau3	hwou3	hau3	go3	vo3	hɔ3	ŋau3
87	red	xa:ŋ3	tɔŋ3	tɔŋ1	de:ŋ3	ga:n3	ga:n3	ge:ŋ4	ɬa:t7	ɬa:t7	hoŋ1
88	green	khiu1	khiu1	khiu1	khi:u1	khi:u1	khi:u1	khi:u1	khiu1	khi:u1	khiu1
89	yellow	ze:ŋ1	ziaŋ4	tsiaŋ4	ze:ŋ1	ze:ŋ1	ze:ŋ1	ɬe:ŋ4	ɬe:ŋ4	ɬe:ŋ4	vɔŋ1
90	white	kha:u1	kha:u1	kha:u1	kha:u1	kha:u1	kha:u1	kha:u1	kha:u1	kha:u1	khaːu1
91	black	dam3	dam3	dam3	dom3	dom2	dam3	dam3	dam3	dəm3	khoil1
92	night	tshap7	tshap7	tshap7	tshop7	tshop7	tshap7	tshop7	tshap7	tshap7	tshap2
93	warm	ɬoŋ2	ɬom2	ɬom1	dun2	ɬun2	Ɂut7	ɬun5	ɬun5	ɬun5	buɘt4
93b	hot	fo3	tshit8	vut8	tshau3	fou3	tshau3	ti:t7	ti:t7	ti:t7	fau3
94	cold	kha:i2	kha:i2	khuai5	khai2	kha:i2	kha:i2	kha:i5	kha:i5	kha:i5	duŋ2 lhan4
95	full	thik8	thi:Ɂ8	thiɁ7	thi:Ɂ7	thi:k7	thi:Ɂ7	thiaɁ7	thiaɁ7	thiak7	thiɘk2
96	new	pa:ŋ1	no3	no6	ma:n1	pa:n1	pa:n1	no3	no6	nɔ3	bɔn4
97	good	ɬen1	ɬen1	ɬen1	din1	ɬeȵ1	ɬin1	ɬen1	ɬen1	ɬin1	tθen1
98	round	ɣom1	zom1	vom4	hom1	hwom1	hom1	gom4	po5	hum1	vin1
99	dry	da:u1	da:u1	da:u1	kheɯ2	da:u1	da:u1	da:u1	da:u1	da:u1	khɔ5
100	name	phe:ŋ1	phiaŋ1	phiaŋ1	pha:ŋ1	phe:ŋ1	phe:ŋ1	phe:ŋ1	phe:ŋ1	phe:ŋ1	phɛŋ1
